DETLOC,fullA.x,ObjectId,x,y,Name,City,County,State,Zip,Circuit,AOR,Docket,Type,Type.Detailed,ICE.Funded,Male.Female,Capacity,Current.FY.Utilization,Population.Count,Date.of.Last.Use,Date.of.First.Use,FirstYear,FY18.Max.Population.Count,Mandatory,Non.Mandatory,Medical.Provider.Onsite.,Provider.Type,Facility.Operator,Facility.Owner,Best.Known.Contract.Initiation.Date,Best.Known.Contract.Expiration.Date,YearExpiration,Guaranteed.Minimum,Per.Diem.Rate.Detailed,ICE.Telephone.Services,Authorization.Status,Authorizing.Authority,Over.Under.72,Contractually.Obligated.Inspection.Standard,PREA.Standard.2.11.Status,Last.Inspection.Pre.Occ.,Last.Inspection.Rating...Final,Last.Inspection.Rating...Recommended,Last.Inspection.Date,CY17.Rating,EMDD.Notes,EMDD.USE,ACA,NCCHC,JCHCO,DSM.Assigned.,DSM.Assignment.Type,FY18.Calendar.Days.in.Use
AAORDMD,600 E. ORDNANCE ROAD GLEN BURNIE MD,37,-76.59434897,39.19918599,ANNE ARUNDEL COUNTY ORDNANCE ROAD CORRECTIONAL CTR,GLEN BURNIE,ANNE ARUNDEL,MD,21060,4,BAL,,IGSA,IGSA,Yes,Male,130,2%,20,11/4/17,10/30/17,2017,20,2,1,YES,,COUNTY (CORRECTIONS),COUNTY,9/20/17,9/19/22,2022,NA,$118.00 [Pending: 40 (GM); $123.48 (1-40) $118.00 (41-130)],,NOT INSPECTED,DMCP,Over 72,PBNDS 2011,PREA,Yes,Special Review - Pre-Occupancy,Special Review - Pre-Occupancy,8/4/16,,,No,,,,No,,6
ABQHOLD,1720 RANDOLPH ROAD ALBUQUERQUE NM,20,-106.627141,35.052192,ALBUQUERQUE HOLD ROOM,ALBUQUERQUE,BERNALILLO,NM,87106,10,ELP,ABQ,Other,HOLD,Yes,Male,0,,0,10/24/17,5/26/09,2009,1,0,0,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,1
ABRDNWA,210 EAST MARKET ST ABERDEEN WA,1,-123.8174609,46.97582676,ABERDEEN CITY JAIL,ABERDEEN,GRAYS HARBOR ,WA,98520,9,SEA,SEA,IGSA,IGSA,Yes,Female/Male,0,,0,9/20/07,9/14/07,2007,0,0,0,,,CITY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
ABRXSPA,1000 ACADEMY DRIVE MORGANTOWN PA,3,-75.91580298,40.191805,ABRAXAS ACADEMY DETENTION CENTER,MORGANTOWN,BERKS,PA,19543,3,PHI,BRK,IGSA,JUVENILE,Yes,Female/Male,0,,2,11/4/17,5/23/14,2014,2,1,1,,,,,NA,NA,#VALUE!,NA,b)(4),,AUTHORIZED,JFRMU,Over 72,,,No,,,,,,No,,,,No,,35
ABTHOLD,12071 FM 3522 ABILENE TX,2,-99.63340401,32.556647,ABILENE HOLD ROOM,ABILENE,ABILENE,TX,79601,5,DAL,ABT,Other,HOLD,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
ADACOID,7210 BARRISTER DRIVE BOISE ID,5,-116.269904,43.60811799,ADA COUNTY JAIL,BOISE,ADA,ID,83704,9,SLC,HEL,IGSA,IGSA,Yes,Female/Male,0,,0,9/7/10,9/28/98,1998,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Deficient,2/14/08,,2008 DEFICIENT,Yes,NO,YES,NO,No,,0
ADAMSCO,1901 E BRIDGE STREET BRIGHTON CO,7,-104.7977052,39.98686484,ADAMS COUNTY JAIL,BRIGHTON,ADAMS,CO,80601,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,3/20/08,1/22/91,1991,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
ADAMSPA,45 MAJOR BELL LANE GETTYSBURGH PA,8,-77.15863202,39.85856702,ADAMS COUNTY JAIL,GETTYSBURGH,ADAMS,PA,17325,3,PHI,,IGSA,IGSA,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Over 72,,,No,Superior,Deficient,12/17/08,,2008 DEFICIENT,Yes,NO,YES,NO,No,,0
ADAMSWA,210 W BRAODWAY RITZVILLE WA,6,-118.38266,47.12735001,ADAMS COUNTY,RITZVILLE,ADAMS,WA,99169,9,SEA,SPO,IGSA,IGSA,Yes,Female/Male,0,,0,9/20/12,10/6/03,2003,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,$63.00 ,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
ADDCOVT,35 COURT STREET MIDDLEBURY VT,9,-73.16365603,44.011441,ADDISON COUNTY JAIL,MIDDLEBURY,ADDISON,VT,5753,2,BOS,BOS,IGSA,IGSA,Yes,Female/Male,0,,0,1/30/12,2/9/04,2004,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,$50.00 ,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
ADLNTCA,10250 RANCHO ROAD ADELANTO CA,10,-117.441037,34.55917801,ADELANTO ICE PROCESSING CENTER,ADELANTO,SAN BERNARDINO,CA,92301,9,LOS,LOS,IGSA,DIGSA,Yes,Female/Male,"1,940",87%,NA,11/4/17,8/29/11,2011,1767,"1,109",582,YES,GEO,GEO,CITY,6/1/11,5/31/21,2021,1455,b)(4),Talton Full Service,AUTHORIZED,DMCP,Over 72,PBNDS 2011,PREA,No,Meets Standard,Meets Standard,10/6/17,Meets Standard,,No,YES,YES,NO,Yes,PERMANENT,35
AFRC,1300 W. RICHEY AVENUE ARTESIA NM,48,-104.41292,32.85731999,ARTESIA FAMILY RESIDENTIAL CENTER,ARTESIA,COUNTY,NM,88210,10,ELP,EPC,IGSA,FAMILY,Yes,Female/Male,648,0%,0,12/17/14,6/27/14,2014,0,0,0,,,GEO,GEO,6/27/14,NA,#VALUE!,700,b)(4),Pro-bono Platform (Talton),NOT INSPECTED,JFRMU,Over 72,ICE Family Residential Standards,PREA,No,,,,,,No,,,,No,,0
AGAHOLD,108 HERNAN CORTEZ AV HAGATNA GU,11,144.75021,13.47607,AGANA HOLD,HAGATNA,GUAM,GU,96910,9,SFR,AGA,Other,HOLD,Yes,Female/Male,0,,0,11/14/16,3/24/02,2002,0,0,0,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
AGC,505 CORNER BELT AND GUN ST. AGUADILLA PR,12,-67.12076236,18.45966487,AGUADILLA,AGUADILLA,AGUADILLA,PR,603,1,MIA,SAJ,Other,HOLD,Yes,Female/Male,65,0%,0,8/5/13,2/7/87,1987,0,0,0,,,MVM,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,Meets Standard,,9/10/09,,,No,NO,YES,YES,No,,0
AGMDCCA,1025 S ANAHEIM BLVD ANAHEIM CA,33,-117.909412,33.81987399,ANAHEIM GLOBAL MEDICAL CENTER,ANAHEIM,ORANGE,CA,92805,9,LOS,,Other,HOSPITAL,No,Female/Male,0,,4,11/4/17,7/14/15,2015,4,0,1,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,,,,No,,35
