DETLOC,Facility Name,City,State,AOR,Distance to Field Office (mi),Last Inspection Type,Last Inspection Rating - Final,Last Inspection Rating - Recommended,Last Inspection Date,Second to Last Inspection Type,Second to Last Inspection Rating,Second to Last Inspection Date
ADLNTCA,ADELANTO ICE PROCESSING CENTER,ADELANTO,CA,LOS,85.29,Regular,Meets Standard,Meets Standard,10/6/17,Regular,Meets Standard,10/5/17
ALBCONY,ALBANY COUNTY JAIL,ALBANY,NY,BUF,335.30,Regular,Pending,Acceptable,9/28/17,ORSA,Acceptable,7/22/16
ALEXAVA,ALEXANDRIA CITY JAIL,ALEXANDRIA,VA,WAS,10.67,ORSA,Acceptable,,9/27/17,ORSA,Acceptable,9/26/16
ALLEGNY,ALLEGANY COUNTY JAIL,BELMONT,NY,BUF,78.07,Regular,Acceptable,Acceptable,2/9/17,ORSA,Acceptable,6/16/16
ANCHOAK,ANCHORAGE CORRECTIONAL COMPLEX,ANCHORAGE,AK,SEA,2275.18,ORSA,Acceptable,,9/8/17,ORSA,Acceptable,6/9/16
APPSCLA,ALLEN PARISH PUBLIC SAFETY COMPLEX,OBERLIN,LA,NOL,165.48,Regular,Meets Standard,Meets Standard,5/18/17,Regular,Meets Standard,8/25/16
ATLANGA,ATLANTA CITY DETENTION CENTER,ATLANTA,GA,ATL,0.34,Regular,Acceptable,Acceptable,6/29/17,Regular,Acceptable,6/25/15
BAKERFL,BAKER COUNTY SHERIFF'S OFFICE,MACCLENNY,FL,MIA,363.59,Regular,Acceptable,Acceptable,4/20/17,Regular,Acceptable,4/14/16
BALDWAL,BALDWIN COUNTY CORRECTIONAL CENTER,BAY MINETTE,AL,NOL,176.75,ORSA,Acceptable,,8/29/17,ORSA,Acceptable,7/28/16
BEAVRPA,BEAVER COUNTY JAIL,ALIQUIPPA,PA,PHI,269.65,ORSA,Acceptable,,9/18/17,N/A,,
BEDCITX,BEDFORD MUNICIPAL DETENTION CENTER,BEDFORD,TX,DAL,16.04,ORSA,Acceptable,,10/11/17,ORSA,Acceptable,7/29/16
BENTOAR,BENTON COUNTY DETENTION CENTER,BENTONVILLE,AR,NOL,503.00,Regular,Good,Deficient,2/29/08,Regular,Superior,2/28/07
BERGENJ,BERGEN COUNTY JAIL,HACKENSACK,NJ,NYC,20.51,Regular,Acceptable,Acceptable,2/9/17,Regular,Acceptable,2/11/16
BERKSPA,BERKS COUNTY PRISON,LEESPORT,PA,PHI,,Regular,Good,Deficient,5/7/09,Regular,Superior,5/8/08
BOONEKY,BOONE COUNTY JAIL,BURLINGTON,KY,CHI,301.94,Regular,Acceptable,Acceptable,2/16/17,Regular,Acceptable,2/19/16
BREMEIA,BREMER COUNTY JAIL,WAVERLY,IA,SPM,154.00,ORSA,Acceptable,,9/21/17,Regular,Special Review - Pre-Occupancy,12/14/16
BRINDMA,BRISTOL COUNTY DETENTION CENTER,NORTH DARTMOUTH,MA,BOS,74.03,Regular,Meets Standard,Meets Standard,5/4/17,Regular,Meets Standard,4/28/16
BROKSTX,BROOKS COUNTY DETENTION CENTER,FALFURRIAS,TX,SNA,170.77,Regular,Acceptable,Acceptable,4/13/17,ORSA,Acceptable,8/12/16
BTV,BUFFALO (BATAVIA) SERVICE PROCESSING CENTER,BATAVIA,NY,BUF,40.14,Regular,Meets Standard,Meets Standard,3/9/17,Regular,Meets Standard,3/3/16
BURNETX,BURNET COUNTY JAIL,BURNET,TX,SNA,94.53,ORSA,Acceptable,,9/13/17,ORSA,Acceptable,8/22/16
BUTLEKS,BUTLER COUNTY JAIL,EL DORADO,KS,CHI,695.62,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,6/21/16
BUTLEOH,BUTLER COUNTY JAIL,HAMILTON,OH,DET,252.68,Regular,Acceptable,Acceptable,1/12/17,Regular,Acceptable,1/14/16
CACFMES,MESA VERDE DETENTION FACILITY,BAKERSFIELD,CA,SFR,291.83,Regular,Meets Standard,Meets Standard,6/29/17,Regular,Meets Standard,6/23/16
CALDWMO,CALDWELL COUNTY DETENTION CENTER,KINGSTON,MO,CHI,453.43,Regular,Acceptable,Acceptable,5/19/16,Regular,Acceptable,5/15/14
CALHOMI,CALHOUN COUNTY CORRECTIONAL CENTER,BATTLE CREEK,MI,DET,123.68,Regular,Acceptable,Acceptable,2/2/17,Regular,Acceptable,1/28/16
CAMBRPA,CAMBRIA COUNTY JAIL,EBENSBURG,PA,PHI,258.42,ORSA,Acceptable,,8/30/16,ORSA,Acceptable,9/30/15
CARJAMN,CARVER COUNTY JAIL,CHASKA,MN,SPM,145.08,Regular,Acceptable,Acceptable,11/19/15,Regular,Acceptable,11/21/13
CASCAMT,CASCADE COUNTY JAIL (MONTANA),GREAT FALLS,MT,SLC,687.91,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,6/22/16
CASSCNE,CASS COUNTY JAIL,PLATTSMOUTH,NE,SPM,462.42,ORSA,Acceptable,,9/21/17,ORSA,Acceptable,8/29/16
CBENDTX,COASTAL BEND DETENTION FACILITY,ROBSTOWN,TX,HOU,150.87,Regular,Meets Standard,Meets Standard,1/26/17,Regular,Special Review - Pre-Occupancy,10/7/16
CBRRSNC,CABARRUS COUNTY JAIL,CONCORD,NC,ATL,267.86,ORSA,Acceptable,,9/15/17,ORSA,Acceptable,9/16/16
CCADCAZ,CCA CENTRAL ARIZONA DETENTION CENTER,FLORENCE,AZ,PHO,66.58,Regular,Meets Standard,Meets Standard,10/1/15,Regular,Meets Standard,9/25/14
CCAFLAZ,"CCA, FLORENCE CORRECTIONAL CENTER",FLORENCE,AZ,PHO,66.20,Regular,Pending,Meets Standard,8/24/17,Regular,Meets Standard,8/25/16
CCANOOH,NORTHEAST OHIO CORRECTIONAL CTR (YOUNGSTOWN CDF),YOUNGSTOWN,OH,DET,147.49,Regular,Meets Standard,Meets Standard,3/23/17,Regular,Special Review - Pre-Occupancy,11/10/16
CCASDCA,OTAY MESA DETENTION CENTER (SAN DIEGO CDF),SAN DIEGO,CA,SND,24.82,Regular,Meets Standard,Meets Standard,1/26/17,Regular,Meets Standard,1/28/16
CHACONY,CHAUTAUQUA COUNTY JAIL,MAYVILLE,NY,BUF,63.14,ORSA,Acceptable,,8/10/17,ORSA,Acceptable,6/16/16
CHARLSC,CHARLESTON COUNTY DETENTION CENTER,NORTH CHARLESTON,SC,ATL,318.94,Regular,Acceptable,Acceptable,12/22/16,ORSA,Acceptable,10/19/16
CHASEKS,CHASE COUNTY DETENTION FACILITY,COTTONWOOD FALLS,KS,CHI,640.38,Regular,Acceptable,Acceptable,7/20/17,Regular,Acceptable,7/16/15
CHIPPMI,CHIPPEWA COUNTY SSM,SAULT SAINTE MARIE,MI,DET,347.51,Regular,Acceptable,Acceptable,3/9/17,ORSA,Acceptable,8/29/16
CHRISMO,CHRISTIAN COUNTY JAIL,OZARK,MO,CHI,521.92,Regular,Pending,Deficient,7/13/17,ORSA,Acceptable,7/27/15
CIBOCNM,CIBOLA COUNTY CORRECTIONAL CENTER,MILAN,NM,ELP,252.60,Regular,Meets Standard,Meets Standard,3/30/17,Regular,Special Review - Pre-Occupancy,10/20/16
CLAYCIN,CLAY COUNTY JAIL,BRAZIL,IN,CHI,200.54,Regular,Meets Standard,Meets Standard,5/25/17,Regular,Meets Standard,5/26/16
CLICONY,CLINTON COUNTY JAIL,PLATTSBURGH,NY,BUF,379.69,Regular,Pending,Deficient,6/8/17,ORSA,Acceptable,7/22/16
CLINTPA,CLINTON COUNTY CORRECTIONAL FACILITY,LOCK HAVEN,PA,PHI,194.62,Regular,Acceptable,Acceptable,9/21/17,Regular,Acceptable,10/1/15
COBBJGA,COBB COUNTY JAIL,MARIETTA,GA,ATL,20.25,ORSA,Acceptable,,9/15/17,ORSA,Acceptable,9/16/16
COCONAZ,COCONINO COUNTY DETENTION FACILITY,FLAGSTAFF,AZ,PHO,145.37,ORSA,Acceptable,,9/8/17,ORSA,Acceptable,8/31/15
COLLIFL,COLLIER COUNTY NAPLES JAIL CENTER,NAPLES,FL,MIA,115.97,ORSA,Acceptable,,10/11/17,ORSA,Acceptable,7/22/16
CONWECA,CONTRA COSTA COUNTY JAIL WEST,RICHMOND,CA,SFR,21.85,Regular,Pending,Acceptable,10/26/17,Regular,Acceptable,10/20/16
CSCNWWA,NORTHWEST DETENTION CENTER,TACOMA,WA,SEA,24.97,Regular,Meets Standard,Meets Standard,4/20/17,Regular,Meets Standard,4/14/16
CUMBEME,CUMBERLAND COUNTY JAIL,PORTLAND,ME,BOS,108.84,ORSA,Acceptable,,8/22/17,ORSA,Acceptable,8/31/16
DAKOTNE,DAKOTA COUNTY JAIL,DAKOTA CITY,NE,SPM,354.72,ORSA,Acceptable,,9/21/17,ORSA,Acceptable,8/11/16
DALCOTX,DALLAS COUNTY JAIL - LEW STERRETT JUSTICE CENTER,DALLAS,TX,DAL,,ORSA,Acceptable,,10/20/17,N/A,,
DAVIDTN,DAVIDSON COUNTY SHERIFF,NASHVILLE,TN,NOL,533.52,ORSA,Acceptable,,8/29/17,ORSA,Acceptable,8/31/16
DEAPDMI,DEARBORN POLICE DEPARTMENT,DEARBORN,MI,DET,12.19,ORSA,Acceptable,,7/18/17,ORSA,Acceptable,8/4/16
DEKALAL,DEKALB COUNTY DETENTION CENTER,FORT PAYNE,AL,NOL,439.27,Regular,Acceptable,Acceptable,1/6/17,Regular,Acceptable,1/15/15
DELAWPA,DELAWARE CO JAIL (GEORGE W. HILL),THORNTON,PA,PHI,19.05,ORSA,Acceptable,,8/17/17,Regular,Special Review - Pre-Occupancy,6/30/16
DENICDF,DENVER CONTRACT DETENTION FACILITY,AURORA,CO,DEN,17.81,Regular,Meets Standard,Meets Standard,9/28/17,Regular,Meets Standard,9/29/16
