DETLOC,fullA.x,ObjectId,x,y,Name,City,County,State,Zip,Circuit,AOR,Docket,Type,Type.Detailed,ICE.Funded,Male.Female,Capacity,Current.FY.Utilization,Population.Count,Date.of.Last.Use,Date.of.First.Use,FirstYear,FY18.Max.Population.Count,FY18.Non.Criminal,FY18.Criminal,FY17.Non.Criminal,FY17.Criminal,FY16.Non.Criminal,FY16.Criminal,FY15.Non.Criminal,FY15.Criminal,Male.Crim,Male.Non.Crim,Female.Crim,Female.Non.Crim,Mandatory,Non.Mandatory,Medical.Provider.Onsite.,Provider.Type,Facility.Operator,Facility.Owner,Best.Known.Contract.Initiation.Date,Best.Known.Contract.Expiration.Date,YearExpiration,Guaranteed.Minimum,Per.Diem.Rate.Detailed,ICE.Telephone.Services,Authorization.Status,Authorizing.Authority,Over.Under.72,Contractually.Obligated.Inspection.Standard,PREA.Standard.2.11.Status,Last.Inspection.Pre.Occ.,Last.Inspection.Rating...Final,Last.Inspection.Rating...Recommended,Last.Inspection.Date,CY17.Rating,EMDD.Notes,EMDD.USE,ACA,NCCHC,JCHCO,DSM.Assigned.,DSM.Assignment.Type,FY18.Calendar.Days.in.Use,FY18.Possible.Days,FY18...of.Days.in.Use,FY18.Total.Mandays,FY17.Calendar.Days.in.Use,FY17...of.Days.in.Use,FY17.Total.Mandays,FY17.Max.Pop.Count,capacity
AAORDMD,600 E. ORDNANCE ROAD GLEN BURNIE MD,37,-76.59434897,39.19918599,ANNE ARUNDEL COUNTY ORDNANCE ROAD CORRECTIONAL CTR,GLEN BURNIE,ANNE ARUNDEL,MD,21060,4,BAL,,IGSA,IGSA,Yes,Male,130,2%,20,11/4/17,10/30/17,2017,20,1,1,0,0,0,0,0,0,1,1,0,0,2,1,YES,,COUNTY (CORRECTIONS),COUNTY,9/20/17,9/19/22,2022,NA,"$118.00 [Pending: 40 (GM); $123.48 (1-40), $118.00 (41-130)]",,NOT INSPECTED,DMCP,Over 72,PBNDS 2011,PREA,Yes,Special Review - Pre-Occupancy,Special Review - Pre-Occupancy,8/4/16,,,No,,,,No,,6,400,2%,960,0,0%,0,0,130
ABQHOLD,1720 RANDOLPH ROAD ALBUQUERQUE NM,20,-106.627141,35.052192,ALBUQUERQUE HOLD ROOM,ALBUQUERQUE,BERNALILLO,NM,87106,10,ELP,ABQ,Other,HOLD,Yes,Male,0,,0,10/24/17,5/26/09,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,1,400,0%,11,110,30%,190,10,1
ABRDNWA,210 EAST MARKET ST ABERDEEN WA,1,-123.8174609,46.97582676,ABERDEEN CITY JAIL,ABERDEEN,GRAYS HARBOR ,WA,98520,9,SEA,SEA,IGSA,IGSA,Yes,Female/Male,0,,0,9/20/07,9/14/07,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,CITY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
ABRXSPA,1000 ACADEMY DRIVE MORGANTOWN PA,3,-75.91580298,40.191805,ABRAXAS ACADEMY DETENTION CENTER,MORGANTOWN,BERKS,PA,19543,3,PHI,BRK,IGSA,JUVENILE,Yes,Female/Male,0,,2,11/4/17,5/23/14,2014,2,1,1,2,2,2,2,0,0,1,1,0,0,1,1,,,,,NA,NA,#VALUE!,NA,b)(4),,AUTHORIZED,JFRMU,Over 72,,,No,,,,,,No,,,,No,,35,400,9%,800,372,102%,"1,207",5,1
ABTHOLD,12071 FM 3522 ABILENE TX,2,-99.63340401,32.556647,ABILENE HOLD ROOM,ABILENE,ABILENE,TX,79601,5,DAL,ABT,Other,HOLD,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
ADACOID,7210 BARRISTER DRIVE BOISE ID,5,-116.269904,43.60811799,ADA COUNTY JAIL,BOISE,ADA,ID,83704,9,SLC,HEL,IGSA,IGSA,Yes,Female/Male,0,,0,9/7/10,9/28/98,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Deficient,2/14/08,,2008 DEFICIENT,Yes,NO,YES,NO,No,,0,400,0%,0,0,0%,0,0,1
ADAMSCO,1901 E BRIDGE STREET BRIGHTON CO,7,-104.7977052,39.98686484,ADAMS COUNTY JAIL,BRIGHTON,ADAMS,CO,80601,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,3/20/08,1/22/91,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
ADAMSPA,45 MAJOR BELL LANE GETTYSBURGH PA,8,-77.15863202,39.85856702,ADAMS COUNTY JAIL,GETTYSBURGH,ADAMS,PA,17325,3,PHI,,IGSA,IGSA,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Over 72,,,No,Superior,Deficient,12/17/08,,2008 DEFICIENT,Yes,NO,YES,NO,No,,0,400,0%,0,0,0%,0,0,1
ADAMSWA,210 W BRAODWAY RITZVILLE WA,6,-118.38266,47.12735001,ADAMS COUNTY,RITZVILLE,ADAMS,WA,99169,9,SEA,SPO,IGSA,IGSA,Yes,Female/Male,0,,0,9/20/12,10/6/03,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,$63.00 ,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
ADDCOVT,35 COURT STREET MIDDLEBURY VT,9,-73.16365603,44.011441,ADDISON COUNTY JAIL,MIDDLEBURY,ADDISON,VT,5753,2,BOS,BOS,IGSA,IGSA,Yes,Female/Male,0,,0,1/30/12,2/9/04,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,$50.00 ,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
