Facility Information,,,,,,,,,,,,,,, Capacity ,,Population,,,,ADP: Fiscal Year,,,,,,,,,,ADP - Monthly,,,,,,,,,,,,,Facility Average Length of Stay,,,,Facility Bookins,,,,Initial Bookins,,,,ADP: Initial Bookins,,,,ADP: Criminality,,,,,,,,FY18 ADP: Detainee Classification Level,,,,FY18 ADP: Criminality and Gender,,,,FY18 ADP: ICE Threat Level,,,,FY18 ADP: Mandatory Detention,,Medical,,Contract,,,,,,,Standards Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility Statistics - FY 2018,,,,Facility Statistics - FY 2017,,,
DETLOC,Name,Address,City,County,State,Zip,Circuit,AOR,Docket,Type,Type Detailed,ICE Funded,Male/Female,"Levels A,B,C,D",Capacity,Current FY Utilization,Population Count,Date of Last Use,Date of First Use,FY18 Max Population Count,FY18 ADP,FY17 ADP,FY16 ADP,FY15 ADP,FY14 ADP,FY13 ADP,FY12 ADP,FY11 ADP,FY10 ADP,FY09 ADP,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,FY18 ALOS,FY17 ALOS,FY16 ALOS,FY15 ALOS,FY18 Facility Bookins,FY17 Facility Bookins,FY16 Facility Bookins,FY15 Facility Bookins,FY18 Initial Bookins,FY17 Initial Bookins,FY16 Initial Bookins,FY15 Initial Bookins,FY18 Initial Bookin ADP,FY17 Initial Bookin ADP,FY16 Initial Bookin ADP,FY15 Initial Bookin ADP,FY18 Non-Criminal,FY18 Criminal,FY17 Non-Criminal,FY17 Criminal,FY16 Non-Criminal,FY16 Criminal,FY15 Non-Criminal,FY15 Criminal,Level A,Level B,Level C,Level D,Male Crim,Male Non-Crim,Female Crim,Female Non-Crim,ICE Threat Level 1,ICE Threat Level 2,ICE Threat Level 3,No ICE Threat Level,Mandatory,Non-Mandatory,Medical Provider Onsite?,Provider Type,Facility Operator,Facility Owner,Best Known Contract Initiation Date,Best Known Contract Expiration Date,Guaranteed Minimum,Per Diem Rate Detailed,ICE Telephone Services,Authorization Status,Authorizing Authority,Over/Under 72,Contractually Obligated Inspection Standard,PREA/Standard 2.11 Status,Current Inspection Frequency,Last Inspection Type,Last Inspection Standard,Last Inspection Pre-Occ?,Last Inspection Rating - Final,Last Inspection Rating - Recommended,Last Inspection Date,Second to Last Inspection Type,Second to Last Inspection Standard,Second to Last Inspection Pre-Occ?,Second to Last Rating,Second to Last Inspection Date,Next Inspection Date,Next Inspection Standard,Next Inspection Type,Next Insp Pre-Occ?,CY17 Rating,CY16 Rating,CY15 RATING,CY14 RATING,CY13 RATING,CY12 RATING,CY11 RATING,CY10 RATING,EMDD Notes,EMDD USE,ACA,NCCHC,JCHCO,DSM Assigned?,DSM Assignment Type,FY18 Calendar Days in Use,FY18 Possible Days,FY18 % of Days in Use,FY18 Total Mandays,FY17 Calendar Days in Use,FY17 % of Days in Use,FY17 Total Mandays,FY17 Max Pop Count
ABRDNWA,ABERDEEN CITY JAIL,210 EAST MARKET ST,ABERDEEN,GRAYS HARBOR ,WA,98520,9,SEA,SEA,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,9/20/07,9/14/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,CITY,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
ABTHOLD,ABILENE HOLD ROOM,12071 FM 3522,ABILENE,ABILENE,TX,79601,5,DAL,ABT,Other,HOLD,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,4,118,0,0,4,118,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NOT INSPECTED,DMCP,Under 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
ABRXSPA,ABRAXAS ACADEMY DETENTION CENTER,1000 ACADEMY DRIVE,MORGANTOWN,BERKS,PA,19543,3,PHI,BRK,IGSA,JUVENILE,Yes,Female/Male,"A, B, C, D",AS NEEDED,,2,11/4/17,5/23/14,2,2,3,4,0,0,0,0,0,0,0,3,3,3,3,4,4,4,4,3,3,2,2,2,,147,120,56,2,7,10,3,0,0,3,0,0,1,1,0,1,1,2,2,2,2,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,,,,,,,,b)(4),,AUTHORIZED,JFRMU,Over 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,,,,No,,35,400,9%,800,372,102%,"1,207",5
RICRANS,"ACI (CRANSTON, RHODE ISLAND)",39 HOWARD AVE,CRANSTON,PROVIDENCE,RI,02920,1,BOS,BOS,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,4/4/05,9/11/96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY (CORRECTIONS),,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
ADACOID,ADA COUNTY JAIL,7210 BARRISTER DRIVE,BOISE,ADA,ID,83704,9,SLC,HEL,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,9/7/10,9/28/98,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,Under 72,,,N/A,Regular,NDS,No,Superior,Deficient,2/14/08,Regular,NDS,No,Superior,2/22/07,,N/A,N/A,No,,,,,,,,,2008 DEFICIENT,Yes,NO,YES,NO,No,,0,400,0%,0,0,0%,0,0
ADAMSWA,ADAMS COUNTY,210 W BRAODWAY,RITZVILLE,ADAMS,WA,99169,9,SEA,SPO,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,9/20/12,10/6/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,$63.00,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
ADAMSCO,ADAMS COUNTY JAIL,1901 E BRIDGE STREET,BRIGHTON,ADAMS,CO,80601,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,3/20/08,1/22/91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
ADAMSPA,ADAMS COUNTY JAIL,45 MAJOR BELL LANE,GETTYSBURGH,ADAMS,PA,17325,3,PHI,,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,Over 72,,,N/A,Regular,NDS,No,Superior,Deficient,12/17/08,Regular,NDS,No,Acceptable,12/20/07,,N/A,N/A,No,,,,,,,,,2008 DEFICIENT,Yes,NO,YES,NO,No,,0,400,0%,0,0,0%,0,0
ADDCOVT,ADDISON COUNTY JAIL,35 COURT STREET,MIDDLEBURY,ADDISON,VT,05753,2,BOS,BOS,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,1/30/12,2/9/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,$50.00,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
ADLNTCA,ADELANTO ICE PROCESSING CENTER,10250 RANCHO ROAD,ADELANTO,SAN BERNARDINO,CA,92301,9,LOS,LOS,IGSA,DIGSA,Yes,Female/Male,"A, B, C, D","1,940",87%,"1,747",11/4/17,8/29/11,"1,767","1,691","1,713","1,472","1,180","1,209","1,081",587,19,0,0,"1,878","1,781","1,841","1,843","1,833","1,654","1,534","1,523","1,521","1,607","1,666","1,684","1,747",70,71,51,52,"1,870","8,623","10,531","8,103",4,23,67,34,18,10,13,5,721,970,874,840,626,846,237,942,666,144,342,539,878,616,93,104,595,206,164,726,"1,109",582,YES,GEO,GEO,CITY,6/1/11,5/31/21,"1,455",b)(4),Talton Full Service,AUTHORIZED,DMCP,Over 72,PBNDS 2011,PREA,Annual,Regular,PBNDS 2011,No,Meets Standard,Meets Standard,10/6/17,Regular,PBNDS 2011,No,Meets Standard,10/5/17,,PBNDS 2011,Regular,No,Meets Standard,Meets Standard,Meets Standard,Meets Standard,Meets Standard,Meets Standard,Meets Standard,,,No,YES,YES,NO,Yes,PERMANENT,35,400,9%,"676,434",372,102%,"625,414","1,918"
