AOR,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,TOTAL FY2020
Total,1996,1786,1712,1836,1771,1562,789,711,638,622,797,967,15187
Atlanta,102,97,121,143,138,102,62,58,59,44,84,101,1111
Baltimore,7,12,9,12,10,2,2,6,1,1,1,1,64
Boston,35,40,30,48,44,36,11,14,10,8,13,21,310
Buffalo,2,3,6,11,6,6,1,7,2,4,2,6,56
Chicago,60,51,50,42,26,38,21,32,17,31,35,39,442
Dallas,159,150,146,169,143,135,106,115,91,108,125,152,1599
Denver,17,15,15,18,21,30,12,8,4,9,21,23,193
Detroit,41,40,34,25,48,43,16,16,13,18,18,26,338
El Paso,77,104,74,77,83,60,48,14,24,32,24,34,651
Houston,112,90,104,116,142,92,75,60,39,29,18,70,947
Los Angeles,17,16,12,23,11,18,7,5,7,6,11,6,139
Miami,178,176,155,159,157,134,48,39,83,67,64,96,1356
New Orleans,221,159,177,180,166,177,102,71,91,60,81,64,1549
New York City,30,28,14,15,20,19,6,12,11,11,15,12,193
Newark,60,52,62,52,51,38,7,15,8,18,20,25,408
Philadelphia,32,32,29,19,18,30,12,6,4,9,6,22,219
Phoenix,190,151,144,172,177,183,59,52,38,54,89,71,1380
Salt Lake City,35,19,21,25,16,13,11,14,20,10,23,19,226
San Antonio,365,336,274,280,284,221,118,126,73,58,78,97,2310
San Diego,112,91,125,115,94,66,12,6,14,12,16,14,677
San Francisco,20,13,11,23,25,16,2,1,3,2,4,4,124
Seattle,28,26,21,17,15,30,14,9,7,3,8,11,189
St. Paul,50,49,50,59,42,48,24,11,12,13,23,38,419
Washington,46,36,28,36,34,24,13,14,7,14,18,15,285
NCATC,-,-,-,-,-,1,-,-,-,1,-,-,2
