DETLOC,Name,Address,City,County,State,Zip,Circuit,AOR,Docket,Type,Type Detailed,ICE Funded,Female Level A,Female Level B,Female Level C,Female Level D,Male Level A,Male Level B,Male Level C ,Male Level D ,Female Level A ,Female Level B ,Female Level C ,Female Level D ,Male Level A ,Male Level B ,Male Level C,Male Level D,Female Non-Crim,Female Crim,Male Non-Crim,Male Crim,Female Non-Crim ,Female Crim ,Male Non-Crim ,Male Crim 
ABRDNWA,ABERDEEN CITY JAIL,210 EAST MARKET ST,ABERDEEN,GRAYS HARBOR ,WA,98520,9,SEA,SEA,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABTHOLD,ABILENE HOLD ROOM,12071 FM 3522,ABILENE,ABILENE,TX,79601,5,DAL,ABT,Other,HOLD,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRXSPA,ABRAXAS ACADEMY DETENTION CENTER,1000 ACADEMY DRIVE,MORGANTOWN,BERKS,PA,19543,3,PHI,BRK,IGSA,JUVENILE,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
RICRANS,"ACI (CRANSTON, RHODE ISLAND)",39 HOWARD AVE,CRANSTON,PROVIDENCE,RI,2920,1,BOS,BOS,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADACOID,ADA COUNTY JAIL,7210 BARRISTER DRIVE,BOISE,ADA,ID,83704,9,SLC,HEL,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMSWA,ADAMS COUNTY,210 W BRAODWAY,RITZVILLE,ADAMS,WA,99169,9,SEA,SPO,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMSPA,ADAMS COUNTY JAIL,45 MAJOR BELL LANE,GETTYSBURGH,ADAMS,PA,17325,3,PHI,,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMSCO,ADAMS COUNTY JAIL,1901 E BRIDGE STREET,BRIGHTON,ADAMS,CO,80601,10,DEN,DEN,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADDCOVT,ADDISON COUNTY JAIL,35 COURT STREET,MIDDLEBURY,ADDISON,VT,5753,2,BOS,BOS,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLNTCA,ADELANTO ICE PROCESSING CENTER,10250 RANCHO ROAD,ADELANTO,SAN BERNARDINO,CA,92301,9,LOS,LOS,IGSA,DIGSA,Yes,115,11,32,49,615,128,328,468,0,0,0,0,1,0,0,0,118,89,679,860,0,0,1,0
AGAHOLD,AGANA HOLD,108 HERNAN CORTEZ AV,HAGATNA,GUAM,GU,96910,9,SFR,AGA,Other,HOLD,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGC,AGUADILLA,505 CORNER BELT AND GUN ST.,AGUADILLA,AGUADILLA,PR,603,1,MIA,SAJ,Other,HOLD,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIRHOPR,AIRPORT HOTEL (SAN JUAN),LUIS MUNOZ MARIN INTR AIRPORT,ISLA VERDE,CAROLINA,PR,913,1,MIA,SAJ,Other,Other,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAMCNC,ALAMANCE COUNTY DETENTION FACILITY,109 SOUTH MAPLE STREET,GRAHAM,ALAMANCE,NC,27253,4,ATL,RDU,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMHOLD,ALAMOSA HOLDROOM,1921 STATE STREET,ALAMOSA,ALAMOSA,CO,81101,10,DEN,DEN,Other,HOLD,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
