AOR,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,TOTAL FY2020,
Total,28118,23892,23356,23270,22353,19249,9992,7872,7222,6789,6903,6868,185884,
Atlanta,1188,1009,966,1040,976,830,502,552,519,338,617,600,9137,
Baltimore,55,80,74,71,75,40,36,24,22,17,19,9,522,
Boston,214,244,258,209,174,183,78,81,70,46,47,70,1674,
Buffalo,162,122,133,120,164,110,64,76,49,72,72,102,1246,
Chicago,578,481,459,509,452,332,286,268,207,249,216,222,4259,
Dallas,1453,1281,1179,1364,1285,1259,1015,1123,1037,1052,887,748,13683,
Denver,244,220,200,191,166,248,132,150,120,114,181,165,2131,
Detroit,381,264,304,230,266,306,133,135,160,172,124,178,2653,
El Paso,2405,2021,2089,2107,2296,2191,1362,611,616,719,530,577,17524,
Houston,1769,1640,1515,1585,1574,1485,1133,815,465,453,360,529,13323,
Los Angeles,655,491,524,532,458,349,219,225,179,208,236,202,4278,
Miami,1034,888,828,903,785,652,248,241,381,320,334,432,7046,
New Orleans,1737,1320,1532,1559,1331,976,541,533,873,493,520,357,11772,
New York City,250,272,225,197,173,121,45,75,72,79,78,73,1660,
Newark,284,297,305,243,265,192,38,54,47,83,91,112,2011,
Philadelphia,322,296,293,293,272,233,151,160,131,139,133,167,2590,
Phoenix,3541,3129,3233,2926,2906,2689,1166,818,586,653,841,555,23043,
Salt Lake City,360,250,214,267,207,207,109,112,128,111,142,122,2229,
San Antonio,7456,5873,5681,5372,5216,4100,1748,1080,772,796,816,751,39661,
San Diego,2668,2410,2130,2431,2274,1745,350,207,335,181,167,257,15155,
San Francisco,440,442,397,394,349,321,224,166,114,166,158,136,3307,
Seattle,372,324,257,255,228,265,142,140,139,118,136,195,2571,
St. Paul,282,295,330,254,260,240,150,86,100,121,83,207,2408,
Washington,265,238,227,214,198,173,118,138,98,86,115,100,1970,
NCATC,3,5,3,4,3,2,2,2,2,3,-,2,31,
